STATE,DISTRICT,years,max_murder
"ANDHRA PRADESH",ADILABAD,2001,101
"ANDHRA PRADESH",ANANTAPUR,2001,151
"ANDHRA PRADESH",CUDDAPAH,2001,80
"ANDHRA PRADESH","EAST GODAVARI",2001,82
"ANDHRA PRADESH","GUNTAKAL RLY.",2001,3
"ANDHRA PRADESH",GUNTUR,2001,182
"ANDHRA PRADESH","HYDERABAD CITY",2001,111
"ANDHRA PRADESH",KARIMNAGAR,2001,162
"ANDHRA PRADESH",KHAMMAM,2001,93
"ANDHRA PRADESH",KRISHNA,2001,65
"ANDHRA PRADESH",KURNOOL,2001,133
"ANDHRA PRADESH",MAHABOOBNAGAR,2001,157
"ANDHRA PRADESH",NALGONDA,2001,122
"ANDHRA PRADESH",NELLORE,2001,89
"ANDHRA PRADESH",NIZAMABAD,2001,106
"ANDHRA PRADESH",PRAKASHAM,2001,102
"ANDHRA PRADESH","RANGA REDDY",2001,214
"ANDHRA PRADESH","SECUNDERABAD RLY.",2001,6
"ANDHRA PRADESH",SRIKAKULAM,2001,38
"ANDHRA PRADESH",VIJAYAWADA,2001,53
"ANDHRA PRADESH","VIJAYAWADA RLY.",2001,2
"ANDHRA PRADESH","VISAKHA RURAL",2001,58
"ANDHRA PRADESH",VISAKHAPATNAM,2001,22
"ANDHRA PRADESH",VIZIANAGARAM,2001,33
"ANDHRA PRADESH",WARANGAL,2001,158
"ANDHRA PRADESH","WEST GODAVARI",2001,77
"ARUNACHAL PRADESH",CHANGLANG,2001,11
"ARUNACHAL PRADESH","KAMENG WEST",2001,4
"ARUNACHAL PRADESH",LOHIT,2001,16
"ARUNACHAL PRADESH","SIANG EAST",2001,7
"ARUNACHAL PRADESH","SIANG UPPER",2001,1
"ARUNACHAL PRADESH","SIANG WEST",2001,5
"ARUNACHAL PRADESH","SUBANSIRI LOWER",2001,8
ASSAM,BARPETA,2001,64
ASSAM,BONGAIGAON,2001,45
ASSAM,C.I.D.,2001,0
ASSAM,CACHAR,2001,52
ASSAM,DARRANG,2001,61
ASSAM,DHEMAJI,2001,15
ASSAM,DIBRUGARH,2001,110
ASSAM,G.R.P.,2001,13
ASSAM,GOALPARA,2001,28
ASSAM,"GUWAHATI CITY",2001,71
ASSAM,HAILAKANDI,2001,18
ASSAM,JORHAT,2001,40
ASSAM,KAMRUP,2001,37
ASSAM,KARIMGANJ,2001,32
ASSAM,KOKRAJHAR,2001,87
ASSAM,LAKHIMPUR,2001,26
ASSAM,MORIGAON,2001,20
ASSAM,N.C.HILLS,2001,17
ASSAM,NAGAON,2001,95
ASSAM,NALBARI,2001,79
ASSAM,SIBSAGAR,2001,59
ASSAM,SONITPUR,2001,86
ASSAM,TINSUKIA,2001,107
BIHAR,ARARIA,2001,47
BIHAR,AURANGABAD,2001,74
BIHAR,BAGAHA,2001,34
BIHAR,BEGUSARAI,2001,124
BIHAR,BETTIAH,2001,66
BIHAR,BHABHUA,2001,41
BIHAR,BHAGALPUR,2001,128
BIHAR,BHOJPUR,2001,135
BIHAR,BUXAR,2001,56
BIHAR,GAYA,2001,200
BIHAR,JAMUI,2001,67
BIHAR,JEHANABAD,2001,73
BIHAR,KATIHAR,2001,60
BIHAR,KHAGARIA,2001,72
BIHAR,KISHANGANJ,2001,25
BIHAR,MADHUBANI,2001,35
BIHAR,MOTIHARI,2001,114
BIHAR,MUNGER,2001,51
BIHAR,MUZAFFARPUR,2001,153
BIHAR,NALANDA,2001,208
BIHAR,NAUGACHIA,2001,36
BIHAR,PATNA,2001,434
BIHAR,"PATNA RLY.",2001,24
BIHAR,PURNEA,2001,104
BIHAR,ROHTAS,2001,127
BIHAR,SARAN,2001,137
BIHAR,SIWAN,2001,116
CHHATTISGARH,BILASPUR,2001,99
CHHATTISGARH,BIZAPUR,2001,9
CHHATTISGARH,DANTEWARA,2001,83
CHHATTISGARH,DHAMTARI,2001,14
CHHATTISGARH,DURG,2001,76
CHHATTISGARH,JANJGIR,2001,48
CHHATTISGARH,KANKER,2001,31
CHHATTISGARH,KAWARDHA,2001,19
